target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label,pearson_p_bh,spearman_p_bh,kendall_p_bh
3lxk,boltz2,boltz2_affinity_pred_value,755,-0.30278283213437507,1.795315076607957e-17,-0.3594003951777526,1.9462447320670266e-24,-0.27749958296222416,1.0233371966295011e-25,Boltz-2,5.745008245145462e-17,8.649976586964562e-24,4.8157044547270635e-25
3lxk,dynamicbind,dynamicbind_affinity_bestpose,758,0.0393716901772138,0.27898407166749045,-0.057088428718056416,0.11631413223228433,-0.040385087468378954,0.12619517295630067,DynamicBind,0.30573596895067445,0.14098682694822343,0.14846490936035373
3lxk,gnina,gnina_cnn_affinity_bestpose,751,-0.19118656750151566,1.2961079077023624e-07,-0.23099390924796068,1.4885942983824458e-10,-0.16699052436605394,3.3218100059567767e-10,GNINA 1.3,2.592215815404725e-07,3.841533673245022e-10,8.304525014891942e-10
3lxk,plapt,plapt_affinity,758,0.025352222049665557,0.48583257878882125,0.06951100568545908,0.055758426132391715,0.05189811667770582,0.04938668532457924,PLAPT,0.498289824398791,0.07194635629986028,0.06476942337649737
3lxk,qvina,qvina_affinity_bestpose,751,-0.27363943574042204,2.3011038424801648e-14,-0.3007768907916067,3.6160839674292664e-17,-0.22632907174719685,7.610419310211938e-17,QVina2,6.574582407086185e-14,1.377555797115911e-16,2.8992073562712145e-16
3mjg,boltz2,boltz2_affinity_pred_value,274,0.7280301423961411,1.6692318700582214e-46,0.6036666953803425,1.3567296744927975e-28,0.4442570422857734,9.372127670875523e-28,Boltz-2,1.4837616622739748e-45,7.2358915972949205e-28,5.355501526214585e-27
3mjg,dynamicbind,dynamicbind_affinity_bestpose,275,0.4989063078657021,1.0302721825019414e-18,0.2778517586824021,2.8810663831928465e-06,0.18000513053211567,9.321644127037864e-06,DynamicBind,3.74644430000706e-18,5.762132766385693e-06,1.7755512622929262e-05
3mjg,gnina,gnina_cnn_affinity_bestpose,268,0.3062276299674206,3.1692621218721486e-07,0.25069812875946795,3.304349425874974e-05,0.1729905336325179,2.6326668784487024e-05,GNINA 1.3,6.183926091457851e-07,5.7466946536956075e-05,4.680296672797693e-05
3mjg,plapt,plapt_affinity,275,0.25500519768114405,1.8647564567426967e-05,0.2346183193445143,8.567376165610302e-05,0.16305720114374772,5.943999690865232e-05,PLAPT,3.315122589764794e-05,0.00013707801864976484,9.962505802610127e-05
3mjg,qvina,qvina_affinity_bestpose,268,0.10238061991284517,0.0944047641751926,0.07955723349735712,0.19415705544274095,0.05942478076932866,0.15490722664797024,QVina2,0.11619047898485244,0.2251096294988301,0.1796025816208351
4ase,boltz2,boltz2_affinity_pred_value,850,0.6940286894398445,3.861099090358743e-123,0.7046910340398457,1.6001412175569597e-128,0.5128352805714016,5.0095814419072134e-110,Boltz-2,7.722198180717486e-122,3.2002824351139193e-127,1.0019162883814428e-108
4ase,dynamicbind,dynamicbind_affinity_bestpose,851,0.3078048630315267,3.9249532403238097e-20,0.2471788985322822,2.5956617776590657e-13,0.17015713991814385,1.3748925811589583e-13,DynamicBind,1.495220282028118e-19,7.690849711582418e-13,4.230438711258333e-13
4ase,gnina,gnina_cnn_affinity_bestpose,838,0.5586688713053716,5.958247583321817e-70,0.5485530582326361,5.1880638975083415e-67,0.3926883748251738,2.2633330652043508e-64,GNINA 1.3,7.944330111095756e-69,6.917418530011122e-66,3.6213329043269613e-63
4ase,plapt,plapt_affinity,851,0.25511287786448544,4.1383375152446506e-14,0.2506053193212105,1.183770059573977e-13,0.17285086187921317,5.653738324223685e-14,PLAPT,1.141610349033007e-13,3.6423694140737753e-13,1.8091962637515792e-13
4ase,qvina,qvina_affinity_bestpose,838,0.4033183172259434,4.0194921039789884e-34,0.36570931443890614,6.464838506949677e-28,0.2554519802016402,1.0430486162621941e-27,QVina2,2.2968526308451366e-33,3.2324192534748384e-27,5.562925953398369e-27
